"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"Klaipėdos turizmo mokykla",Lithuania,"2000000 - 2249999",0,12.5,0,2017-04-26
"Montanuniversitaet Leoben",Austria,"1000000 - 1249999",0,21.25,0,2016-09-02
"Universidade do Porto",Portugal,"1000000 - 1249999",0,6.25,2,2017-05-17
"University College London","United Kingdom","1000000 - 1249999",0,20.25,0,2018-04-06
"Örebro University",Sweden,"1000000 - 1249999",0,0.25,0,2020-06-15
"University of Bath","United Kingdom","900000 - 999999",0,17.5,0,2013-02-07
"Vrije Universiteit Brussel",Belgium,"900000 - 999999",0,9.5,2,2016-12-19
"Alma Mater Studiorum - Università di Bologna",Italy,"800000 - 899999",0,42.25,0,2013-03-14
"Académie de recherche et d'enseignement supérieur",Belgium,"700000 - 799999",0,4.5,1,2018-09-20
"Stichting IHE Delft Institute for Water Education",Netherlands,"700000 - 799999",0,4.75,0,2012-09-17
"Fundación Zaragoza Logistics Center",Spain,"600000 - 699999",0,9,0,2013-01-25
"Universiteit Antwerpen",Belgium,"600000 - 699999",0,6.5,1,2017-03-01
"World Maritime University",Sweden,"600000 - 699999",0,9,0,2015-09-07
"EMN National Contact Point of Luxembourg (University of Luxembourg)",Luxembourg,"500000 - 599999",0,4.5,0,2017-12-19
"Edinburgh Napier University","United Kingdom","500000 - 599999",0,5.75,0,2015-11-17
"Maynooth University",Ireland,"500000 - 599999",0,8,0,2016-09-01
"DCU Brexit Institute",Ireland,"400000 - 499999",0,4,1,2017-11-03
"European Academies' Science Advisory Council",Germany,"400000 - 499999",0,4,4,2013-07-26
"Faculty of Technical Sciences, University of Novi Sad",Serbia,"400000 - 499999",0,1.25,0,2016-03-10
"Graz University of Technology",Austria,"400000 - 499999",0,3.25,0,2016-07-20
"Harper Adams University","United Kingdom","400000 - 499999",0,6.25,0,2016-12-05
